,Sentence 1,Sentence 2,Annotation scores,PV-DM,PV-DBOW,Sent2vec,Skip-thoughts,Jaccard,Qgram,Skip-gram max pooling,CBOW max pooling,Hybrid model
0,"It has recently been shown that Craf is essential for Kras G12D-induced NSCLC.
","It has recently become evident that Craf is essential for the onset of Kras-driven non-small cell lung cancer.
",4.0,0.6741647539606246,0.6712512963208578,0.7505126634096577,0.747896405778178,0.23529411764705882,0.23893805309734514,0.948378223940616,0.9949691593363471,2.971059187454353
1,"The Bcl-2 inhibitor ABT-737 induces regression of solid tumors  and its derivatives are in the early clinical phase as cancer therapeutics; however, it targets Bcl-2, Bcl-XL, and Bcl-w, but not Mcl-1, which induces resistance against apoptotic cell death triggered by ABT-737.
","Recently, it has been reported that ABT-737 is not cytotoxic to all tumors cells, and that chemoresistance to ABT-737 is dependent on appreciable levels of Mcl-1 expression, the one Bcl-2 family member it does not effectively inhibit.
",3.0,0.6141957049270862,0.6079718022046793,0.8230469935046415,0.7574283298464868,0.175,0.21498371335504887,0.973111688790429,0.9775695555491591,3.464745533990923
2,"Previous studies demonstrated that the decrease level of 5 hmC in tumors was due to the reduced expression of TET1/2/3 and IDH2 genes or tumor derived IDH1 and IDH2 mutations.
","In addition, genetic and functional studies suggest that neomorphic IDH mutations contribute to myeloid transformation, at least in part, by inhibiting TET enzymatic function.
",2.2,0.45786102057260797,0.41049947492000805,0.5187946382736076,0.5153557547668673,0.06060606060606061,0.11328125,0.9616262860497173,0.9355696186977331,1.9998916961901507
3,"More recently, IDH mutations and resultant 2-hydroxyglutarate (2HG) production in leukemia cells were reported to induce global DNA hypermethylation through impaired TET2 catalytic function.
","It has also been recently reported that mutations of the isocitrate dehydrogenase genes IDH1 and IDH2 can lead to the aberrant production of 2-hydroxyglutarate (2-HG), a metabolite that inhibits TET2 enzymatic activity, resulting in a hypermethylated promoter phenotype in acute myeloid leukemia (AML) tumors carrying IDH1/2 mutations.
",3.2,0.673236487493381,0.6376728570561689,0.7728994966828423,0.7689765125526625,0.22727272727272727,0.2936046511627907,0.9729607177998943,0.9686905080524749,3.482299054091177
4,"Recent in vitro studies using shRNA-based approaches have suggested a role for TET2 in regulating myeloid differentiation and in regulating stem/progenitor cell proliferation.
","Two recent studies used RNAi-mediated Tet2 knock-down in vitro to suggest that TET2 depletion led to impaired hematopoietic differentiation and to preferential myeloid commitment.
",3.2,0.5594155225487188,0.5177954928546626,0.6313254386815025,0.7761282468180428,0.21428571428571427,0.25925925925925924,0.966144633659926,0.9423296587213017,2.6964824793385525
5,"Recently, it was reported that expression of IDH1R132H suppresses TET2 activity and the mutations of IDH1 and IDH2 genes occur in a mutual exclusive manner with that of TET2 gene in AML.
","This large-scale study showed that IDH1/IDH2 mutations were mutually exclusive with inactivating TET2 mutations, suggesting that the two types of mutations had similar effects and were thus functionally redundant.
",3.2,0.5082585106799604,0.46935166566668657,0.5469988226601173,0.5350733393161923,0.09375,0.16988416988416988,0.9587011412119171,0.862701623908392,2.1292737484773756
6,"Recently, it was reported that expression of IDH1R132H suppresses TET2 activity and the mutations of IDH1 and IDH2 genes occur in a mutual exclusive manner with that of TET2 gene in AML 
","The mechanism was clarified by yet another genomic survey, this time involving acute myelogenous leukemia (AML).
",1.4,0.10437253565485659,0.045108898872433655,0.2928845961447144,0.22747803731950875,0.03333333333333333,0.04484304932735426,0.9144853592610912,0.8359279981563849,0.2182034295084314
7,"expression of an activated form of Ras proteins can induce senescence in some primary fibroblasts.
","When expressed alone in primary cells however, oncogenic Ras induces premature senescence, a putative tumour suppressor mechanism to protect from uncontrolled proliferation.
",3.0,0.5712042113095976,0.4849561299715853,0.6266489468618774,0.6116882455095184,0.13043478260869565,0.2275132275132275,0.9629230841721692,0.9573847599364425,2.753098797628221
8,"A high percentage of tumor cells that take on immortalized characteristics show telomerase activity and it has been suggested that hTERT expression may be one of the six key events common to cancer.
","As a serine/threonine protein kinase, AKT functions by phosphorylating key intermediate signaling molecules, leading to increased cell metabolism, cell growth, cell survival, and cell invasiveness—all hallmarks of cancer.
",1.4,0.22749164280934112,0.23881798005451835,0.3624432136401248,0.6071592335394834,0.05405405405405406,0.0946372239747634,0.9487341167900882,0.9155357965449823,1.0233050819143852
9,"In view of the evidence that many tumors occurring in nature arise from the selection of cells with genetic and/or epigenetic changes.
","The phenomena of neoplastic development and neoplastic transformation, whether they occur in vivo or in vitro, are thought to represent the accumulation of a series of genetic and epigenetic alterations that disrupt the normal processes of cell division and tissue integrity.
",3.0,0.5527160640587182,0.45163676899380695,0.506171962734293,0.628773259482492,0.06060606060606061,0.10714285714285714,0.9634646288903991,0.9304920927389124,1.8883581832624365
